TimeUS,terrain_cm,sub_cm,rf_cm,signal_quality
66293018,-2000.0,-1111.3039812088011,883,100
66399403,-2000.0,-1111.1975966682435,879,100
66493924,-2000.0,-1111.1030756225587,892,100
66600356,-2000.0,-1110.9457372352258,893,100
66799690,-2000.0,-1110.5966182708742,890,100
66894744,-2000.0,-1110.4065118789674,889,100
66988754,-2000.0,-1110.3546227931977,889,100
66999407,-2000.0,-1110.3492961883544,885,100
67094435,-2000.0,-1110.301782464981,888,100
67199317,-1998.0,-1110.3506587142945,891,100
67398351,-1996.0,-1110.5008561139132,883,100
67493525,-1994.0000000000002,-1110.5965077309152,881,100
67588110,-1992.0000000000002,-1110.645555305481,870,100
67600484,-1989.9999999999998,-1110.6517423629762,879,100
67798390,-1988.0,-1110.7,881,100
67998497,-1986.0,-1110.7,880,100
68093400,-1984.0,-1110.7,870,100
68187977,-1982.0,-1110.7454887866975,867,100
68198596,-1980.0,-1110.7507982254028,869,100
68294610,-1978.0,-1110.798805475235,865,100
68399214,-1976.0000000000002,-1110.7488927841187,871,100
68600347,-1973.9999999999998,-1110.5449787960054,861,100
68699202,-1972.0,-1110.394519988103,867,100
68799467,-1970.0,-1110.1451052120076,855,100
68894477,-1968.0,-1109.9087612303929,861,100
68999399,-1966.0,-1109.3930047988893,857,100
69199493,-1964.0,-1108.3417860031127,850,100
69294439,-1962.0,-1107.8195835113524,860,100
69387664,-1960.0000000000002,-1107.1723494529724,846,100
69398446,-1957.9999999999998,-1107.0968762702942,846,100
69598489,-1955.9999999999998,-1105.4405557354492,850,100
69696173,-1954.0,-1104.5078953211032,857,100
69798536,-1952.0,-1103.2815635681154,850,100
69893229,-1950.0,-1102.1452510833742,840,100
69998609,-1948.0,-1100.677469444275,850,100
70093683,-1946.0,-1099.3464242935183,849,100
70198373,-1944.0000000000002,-1097.5766540527343,848,100
70398523,-1942.0000000000002,-1093.9202918529509,846,100
70493671,-1939.9999999999998,-1092.0649134635926,848,100
70589076,-1938.0,-1089.928285360336,854,100
70600454,-1936.0,-1089.6722679519653,849,100
70799725,-1934.0,-1085.0979680341275,852,100
70895216,-1932.0,-1082.86509548396,853,100
70999377,-1930.0,-1080.4176268100737,854,100
71095666,-1928.0,-1078.1548316001893,853,100
71199523,-1926.0000000000002,-1075.5619126319884,856,100
71294786,-1923.9999999999998,-1073.180325603485,845,100
71398364,-1922.0,-1070.6410646553038,848,100
71598489,-1920.0,-1065.776140805345,843,100
71694752,-1918.0,-1063.4542093401578,853,100
71788647,-1916.0,-1061.0171766281128,866,100
71798394,-1914.0,-1060.7637365341188,848,100
71998377,-1912.0,-1055.462805271149,851,100
72093533,-1910.0000000000002,-1052.8935880661013,860,100
72198347,-1907.9999999999998,-1050.164963912964,853,100
72293439,-1905.9999999999998,-1047.692576599121,861,100
72398407,-1904.0,-1044.9634017944334,864,100
72492941,-1902.0,-1042.5055198669431,851,100
72599261,-1900.0,-1039.7411973953244,862,100
72695198,-1898.0,-1037.2468288421628,861,100
72801051,-1896.0,-1034.4946666946412,855,100
72896679,-1894.0000000000002,-1032.008331893921,863,100
73000403,-1892.0000000000002,-1029.3248908047651,864,100
73199403,-1889.9999999999998,-1024.2142150402067,865,100
73295512,-1888.0,-1021.7634377479552,865,100
73399338,-1886.0,-1019.1665260314943,870,100
73494469,-1884.0,-1016.7882649421693,868,100
73598386,-1882.0,-1014.1401527767181,864,100
73798467,-1880.0,-1009.176658377336,871,100
73893362,-1878.0,-1006.8877480051627,867,100
73988642,-1876.0000000000002,-1004.7838592529299,867,100
73998351,-1873.9999999999998,-1004.570259666443,873,100
74198497,-1872.0,-1000.3192962169647,871,100
74294198,-1870.0,-998.3574212551117,873,100
74388166,-1868.0,-996.6134215831756,866,100
74399424,-1866.0,-996.4051427364348,875,100
74598574,-1864.0,-992.8732251167297,869,100
74697739,-1862.0,-991.1874288558959,872,100
74799600,-1860.0000000000002,-989.4557873802185,865,100
74999403,-1857.9999999999998,-986.1696982008901,878,100
75093503,-1855.9999999999998,-984.671581181009,872,100
75188711,-1854.0,-983.1939717769621,871,100
75200304,-1852.0,-983.0142794132231,867,100
75399330,-1850.0,-979.9800443649293,875,100
75495014,-1848.0,-978.5447835922243,866,100
75589011,-1846.0,-977.1803273677828,865,100
75599291,-1844.0000000000002,-977.0312706489563,873,100
75798502,-1842.0000000000002,-974.1859009862546,871,100
75893482,-1839.9999999999998,-972.8494956011749,864,100
75998360,-1838.0,-971.3809541702271,868,100
76093452,-1836.0,-970.0496686935427,867,100
76198356,-1834.0,-968.53033618927,862,100
76293430,-1832.0,-967.1517537117003,869,100
76399330,-1830.0,-965.6673757553099,860,100
76598373,-1828.0,-962.8807739257812,864,100
76692585,-1826.0000000000002,-961.561805152893,871,100
76800506,-1823.9999999999998,-960.1026655426026,859,100
76897941,-1822.0,-958.7878245794952,862,100
76999493,-1820.0,-957.474214028126,867,100
77094327,-1818.0,-956.247501331538,862,100
77199557,-1816.0,-954.8797482490538,865,100
77295113,-1814.0,-953.6375292778015,859,100
77399351,-1812.0,-952.1303984165191,872,100
77598489,-1810.0000000000002,-949.1926625633239,857,100
77694284,-1807.9999999999998,-947.7557280921935,856,100
77789531,-1805.9999999999998,-946.2741385052551,854,100
77799287,-1804.0,-946.1221562697062,852,100
77998343,-1802.0,-943.0798512458801,860,100
78093366,-1800.0,-941.6545039176942,859,100
78198343,-1798.0,-939.9278363704682,846,100
78293486,-1796.0,-938.3579716205597,858,100
78398364,-1794.0000000000002,-936.5767999649048,853,100
78493761,-1792.0000000000002,-934.955059146881,856,100
78598583,-1789.9999999999998,-933.1222874164581,852,100
78695173,-1788.0,-931.4319700241088,853,100
78799639,-1786.0,-929.3985337734224,862,100
78999639,-1784.0,-925.4985323600771,859,100
79102447,-1782.0,-923.4915947302065,862,100
79209495,-1780.0,-921.3612855825851,861,100
79210495,-1778.0,-921.3413850850726,860,100
79300614,-1775.9999999999998,-919.5463949680327,855,100
79399002,-1774.0000000000002,-917.5294467449186,857,100
79401085,-1772.0,-917.4867449283602,856,100
79500344,-1770.0,-915.4495929718018,843,100
79601446,-1768.0,-913.27590880394,857,100
79798403,-1766.0,-908.9409250354768,861,100
79894572,-1764.0,-906.7771226501466,854,100
80004265,-1762.0,-904.4038093394372,851,100
80199257,-1760.0000000000002,-900.1503383636475,845,100
80298756,-1757.9999999999998,-897.9613554000853,865,100
80398780,-1755.9999999999998,-895.7608182907103,859,100
80598733,-1754.0,-891.3109899520872,862,100
80697499,-1752.0,-889.0880203247068,861,100
80799433,-1750.0,-886.6416007995607,861,100
80896288,-1748.0,-884.3170654296877,863,100
81000407,-1746.0,-881.8699225559234,872,100
81199377,-1744.0000000000002,-877.2060963284316,867,100
81293941,-1742.0000000000002,-874.9948992297423,863,100
81399343,-1739.9999999999998,-872.569105243683,862,100
81495808,-1738.0,-870.3504076957705,863,100
81599463,-1736.0,-868.0170732021332,865,100
81798815,-1734.0,-863.6324706401826,874,100
81895392,-1732.0,-861.5560717906952,875,100
81998454,-1730.0,-859.4808074337755,866,100
82094683,-1728.0,-857.5465546421074,875,100
82199836,-1725.9999999999998,-855.4946842670441,868,100
82295134,-1724.0000000000002,-853.6363769054411,872,100
82398399,-1722.0,-851.7241177558898,884,100
82598647,-1720.0,-848.1719848632812,871,100
82693306,-1718.0,-846.5627924919128,863,100
82789702,-1716.0,-844.9704042911529,868,100
82799433,-1714.0,-844.8098505496979,865,100
82998630,-1712.0,-841.7263536453248,871,100
83095409,-1710.0000000000002,-840.3230669498445,860,100
83199437,-1707.9999999999998,-838.8658727035523,873,100
83294696,-1705.9999999999998,-837.5322440490722,864,100
83399364,-1704.0,-836.2268071150899,867,100
83494336,-1702.0,-835.0455676026605,862,100
83600321,-1700.0,-833.7209784984589,876,100
83696306,-1698.0,-832.5211727619171,860,100
83799399,-1696.0,-831.1818124771116,872,100
83894701,-1694.0000000000002,-829.9428851127623,859,100
83999270,-1692.0000000000002,-828.5834871177674,856,100
84198368,-1689.9999999999998,-825.8373361884647,868,100
84292898,-1688.0,-824.4597687342656,862,100
84398635,-1686.0,-822.8246563434601,861,100
84493739,-1684.0,-821.35053358078,864,100
84598399,-1682.0,-819.7283148765564,861,100
84798553,-1680.0,-816.6766969680788,861,100
84892739,-1678.0,-815.2639023780825,867,100
84991402,-1675.9999999999998,-813.7367656230929,868,100
84998536,-1674.0000000000002,-813.6261862754824,865,100
85199514,-1672.0,-810.4085039577484,860,100
85293791,-1670.0,-808.8529428920746,856,100
85399549,-1668.0,-807.0653361723793,860,100
85494791,-1666.0,-805.4542770689402,865,100
85599347,-1664.0,-803.5757442474367,864,100
85694542,-1662.0,-801.8622375488283,852,100
85799574,-1660.0000000000002,-800.0224376201631,859,100
85894709,-1657.9999999999998,-798.357579755783,855,100
85999265,-1655.9999999999998,-796.4772132568359,864,100
86093241,-1654.0,-794.7856448822021,861,100
86198364,-1652.0,-792.8339225155623,857,100
86292126,-1650.0,-791.0906192837049,851,100
86400815,-1648.0,-789.0794192790984,854,100
86598338,-1646.0,-785.3745597839354,853,100
86691787,-1644.0000000000002,-783.5990447044371,863,100
86798489,-1642.0000000000002,-781.5209613323213,868,100
86894186,-1639.9999999999998,-779.654871273041,863,100
86998557,-1638.0,-777.4672856330874,858,100
87094456,-1636.0,-775.4534144401553,857,100
87199433,-1634.0,-773.3001158638,858,100
87399326,-1632.0,-769.1618430180338,868,100
87495310,-1630.0,-767.1561976076954,864,100
87592003,-1628.0,-765.1729363441469,868,100
87600360,-1625.9999999999998,-765.0016129493715,852,100
87799471,-1624.0000000000002,-760.8183520793915,866,100
87895396,-1622.0,-758.7559779644012,862,100
87989483,-1620.0,-756.733094549179,856,100
88000326,-1618.0,-756.499990749359,858,100
88198360,-1616.0,-752.2924312553405,864,100
88293469,-1614.0,-750.295142551422,863,100
88401231,-1612.0,-748.2287461247275,860,100
88496949,-1610.0000000000002,-746.4009578915695,859,100
88598467,-1607.9999999999998,-744.5228474617004,870,100
88798450,-1605.9999999999998,-740.7217144966128,857,100
88893074,-1604.0,-738.8765456676484,861,100
88999295,-1602.0,-736.7029325962069,865,100
89095267,-1600.0,-734.7355151176455,865,100
89198605,-1598.0,-732.6170968055726,862,100
89293211,-1596.0,-730.6776558399199,863,100
89400351,-1594.0000000000002,-728.584640663147,864,100
89494516,-1592.0,-726.7484261207582,870,100
89599386,-1590.0,-724.7134027566484,861,100
89696739,-1588.0,-722.8244550562617,860,100
89800338,-1586.0,-720.8043917179108,873,100
89999351,-1584.0,-716.8729633331297,861,100
90095216,-1582.0,-714.9556774139403,867,100
90189380,-1580.0,-713.2094519138335,866,100
90199343,-1578.0,-713.0251512107849,868,100
90398356,-1576.0,-709.3340821002595,869,100
90493580,-1574.0,-707.5635696775349,859,100
90598351,-1572.0,-705.5743151664733,871,100
90693516,-1570.0,-703.7661844253539,871,100
90798493,-1568.0,-701.9746112823487,858,100
90999737,-1566.0,-698.707561016083,864,100
91096971,-1564.0,-697.2004449367524,862,100
91198459,-1562.0,-695.5766540527344,865,100
91292808,-1560.0,-694.0670639038085,873,100
91388544,-1558.0,-692.5352951049805,866,100
91402415,-1555.9999999999998,-692.3133441772461,862,100
91599386,-1554.0,-689.1699714926345,863,100
91799489,-1552.0,-685.9254288196563,865,100
91894396,-1550.0,-684.3594586372374,867,100
