TimeUS,terrain_z,sub_z,rf
69717000,-19.9,-10.414323746164513,9.390676253835485
69817000,-19.88,-10.426666153597665,9.358333846402333
69920000,-19.85,-10.439380027588582,9.315619972411419
70021000,-19.82,-10.450001307107947,9.274998692892053
70126000,-19.8,-10.448772941499382,9.256227058500619
70226000,-19.77,-10.447217610055668,9.22778238994433
70326000,-19.75,-10.443347938621208,9.211652061378791
70430000,-19.72,-10.441592527268872,9.183407472731126
70530000,-19.7,-10.453636609493396,9.151363390506603
70633000,-19.67,-10.46602930545995,9.108970694540051
70733000,-19.65,-10.47677927518868,9.078220724811318
70834000,-19.62,-10.479372562663514,9.045627437336487
70937000,-19.6,-10.479794088357687,9.025205911642313
71037000,-19.57,-10.464100628431465,9.010899371568534
71141000,-19.55,-10.447907593370475,9.007092406629525
71241000,-19.52,-10.430073340124311,8.994926659875688
71342000,-19.5,-10.39718006525134,9.007819934748658
71445000,-19.47,-10.363649340011374,9.011350659988624
71545000,-19.45,-10.333731367236007,9.021268632763991
71649000,-19.42,-10.302889982686994,9.022110017313008
71749000,-19.4,-10.270484551373686,9.034515448626312
71849000,-19.38,-10.221340351614536,9.063659648385462
71953000,-19.35,-10.173877288133248,9.081122711866753
72053000,-19.32,-10.149300352881085,9.075699647118915
72157000,-19.3,-10.123954722399255,9.081045277600746
72257000,-19.27,-10.09759586444903,9.07740413555097
72361000,-19.25,-10.05738387054793,9.097616129452069
72461000,-19.22,-10.019064954767279,9.10593504523272
72562000,-19.2,-9.983888786232326,9.121111213767673
72665000,-19.17,-9.947697372662347,9.127302627337654
72765000,-19.15,-9.90797208289546,9.147027917104538
72869000,-19.12,-9.835804139000645,9.189195860999355
72969000,-19.1,-9.766958867293893,9.238041132706108
73070000,-19.07,-9.704518223684962,9.270481776315037
73173000,-19.05,-9.643171321122473,9.311828678877527
73273000,-19.02,-9.6025538123589,9.322446187641098
73377000,-19.0,-9.560667757654466,9.344332242345534
73477000,-18.97,-9.517765187624228,9.35723481237577
73577000,-18.95,-9.459236072642701,9.395763927357297
73681000,-18.93,-9.402941630181333,9.432058369818666
73781000,-18.9,-9.375934684503543,9.429065315496455
73884000,-18.88,-9.348042367284267,9.436957632715732
73985000,-18.85,-9.31702467449247,9.43797532550753
74085000,-18.82,-9.258747776293102,9.466252223706897
74188000,-18.8,-9.203060377629317,9.501939622370683
74289000,-18.77,-9.177405406281252,9.497594593718746
74392000,-18.75,-9.150996192630975,9.504003807369024
74492000,-18.72,-9.123124915555312,9.501875084444686
74593000,-18.7,-9.079705953148725,9.525294046851274
74696000,-18.67,-9.038792891246823,9.536207108753178
74796000,-18.65,-9.025970703246925,9.529029296753073
74899000,-18.62,-9.0127648186057,9.512235181394301
75000000,-18.6,-8.998373780687915,9.506626219312086
75100000,-18.57,-8.972703794334148,9.502296205665852
75203000,-18.55,-8.945650512148061,9.509349487851939
75304000,-18.52,-8.914273611430522,9.510726388569477
75407000,-18.5,-8.882022808065866,9.522977191934134
75507000,-18.47,-8.851303639403676,9.523696360596322
75611000,-18.45,-8.82451682681205,9.530483173187948
75711000,-18.42,-8.801096654944345,9.523903345055656
75811000,-18.4,-8.79614339973643,9.508856600263568
75914000,-18.38,-8.791049075533984,9.493950924466015
76015000,-18.35,-8.784527978599012,9.470472021400989
76119000,-18.32,-8.765943202724065,9.459056797275935
76220000,-18.3,-8.747058912537865,9.457941087462135
76320000,-18.27,-8.72136797203697,9.453632027963028
76423000,-18.25,-8.697639937975332,9.457360062024668
76524000,-18.22,-8.691200847482847,9.433799152517151
76627000,-18.2,-8.684543581250098,9.4204564187499
76728000,-18.17,-8.677212328581756,9.397787671418245
76828000,-18.15,-8.664474447909306,9.390525552090692
76931000,-18.12,-8.652798625977404,9.372201374022596
77031000,-18.1,-8.651278072928639,9.353721927071362
77136000,-18.07,-8.649693564189427,9.325306435810573
77236000,-18.05,-8.648810275761777,9.306189724238223
77336000,-18.02,-8.651925246969983,9.273074753030016
77440000,-18.0,-8.653697925691558,9.251302074308441
77540000,-17.98,-8.645943662693025,9.239056337306975
77643000,-17.95,-8.637970493778171,9.217029506221827
77744000,-17.92,-8.628554178601059,9.196445821398942
77844000,-17.9,-8.608297612203668,9.19670238779633
77950000,-17.88,-8.588482988067968,9.19651701193203
78051000,-17.85,-8.578942165047408,9.176057834952593
78154000,-17.82,-8.569131888278816,9.155868111721183
78254000,-17.8,-8.556834892490913,9.148165107509087
78355000,-17.77,-8.529279001505053,9.145720998494946
78458000,-17.75,-8.501890388781641,9.153109611218358
78558000,-17.73,-8.480581585205005,9.154418414794995
78661000,-17.7,-8.458664374068036,9.146335625931963
78761000,-17.67,-8.436504722709763,9.138495277290238
78865000,-17.65,-8.407714502732073,9.147285497267925
78965000,-17.62,-8.38036277059816,9.144637229401841
79065000,-17.6,-8.357447044028785,9.147552955971216
79169000,-17.57,-8.333850895515559,9.141149104484441
79269000,-17.55,-8.309064786258835,9.145935213741165
79372000,-17.52,-8.26918545082689,9.155814549173108
79473000,-17.5,-8.229425156205828,9.175574843794172
79573000,-17.47,-8.18192599785049,9.193074002149508
79676000,-17.45,-8.133020116216516,9.221979883783483
79776000,-17.42,-8.08468034481826,9.240319655181741
79880000,-17.4,-8.034901542990152,9.270098457009846
79980000,-17.38,-7.984702027276205,9.300297972723794
80081000,-17.35,-7.921119895094415,9.333880104905587
80184000,-17.32,-7.860514613775645,9.364485386224354
80284000,-17.3,-7.834191164500371,9.370808835499629
80387000,-17.27,-7.8070542176628885,9.367945782337111
80488000,-17.25,-7.778380587598527,9.376619412401473
80588000,-17.22,-7.733131421649973,9.391868578350026
80691000,-17.2,-7.68799113470829,9.417008865291708
80791000,-17.17,-7.653689630412838,9.421310369587163
80895000,-17.15,-7.618424963038995,9.436575036961003
80995000,-17.12,-7.584791436636692,9.440208563363308
81095000,-17.1,-7.5558394773073525,9.44916052269265
81198000,-17.07,-7.526921181650531,9.448078818349469
81299000,-17.05,-7.504781455894164,9.450218544105836
81405000,-17.02,-7.48132236023461,9.443677639765388
81506000,-17.0,-7.456360580006139,9.44863941999386
81611000,-16.97,-7.4136203298440595,9.461379670155939
81711000,-16.95,-7.374236173320199,9.4807638266798
81811000,-16.92,-7.341707717878996,9.483292282121004
81914000,-16.9,-7.308263939514393,9.496736060485604
82015000,-16.88,-7.275444804507849,9.50955519549215
82122000,-16.85,-7.238460042519454,9.516539957480548
82223000,-16.82,-7.205558262487294,9.519441737512706
82323000,-16.8,-7.179253715303867,9.525746284696133
82427000,-16.77,-7.1550807310976134,9.519919268902386
82527000,-16.75,-7.1453635930453,9.5096364069547
82630000,-16.72,-7.135369200949514,9.489630799050484
82731000,-16.7,-7.126892182455677,9.478107817544322
82831000,-16.67,-7.1244928258629034,9.450507174137098
82934000,-16.65,-7.120742940853906,9.434257059146093
83035000,-16.62,-7.109098437600957,9.415901562399045
83138000,-16.6,-7.097101838533729,9.407898161466273
83238000,-16.57,-7.085537619936234,9.389462380063765
83339000,-16.55,-7.0744643063689185,9.380535693631082
83442000,-16.52,-7.063667157726391,9.361332842273608
83542000,-16.5,-7.057518233418671,9.347481766581328
83646000,-16.47,-7.051184870465151,9.323815129534848
83746000,-16.45,-7.042186650212605,9.312813349787394
83846000,-16.42,-7.013570393812113,9.311429606187888
83950000,-16.4,-6.985631182147374,9.319368817852624
84050000,-16.38,-6.969352536684748,9.31564746331525
84154000,-16.35,-6.952545259782129,9.302454740217872
84254000,-16.32,-6.937330599268929,9.28766940073107
84354000,-16.3,-6.929176383955418,9.275823616044581
84458000,-16.27,-6.920852265705199,9.254147734294799
84558000,-16.25,-6.913146562873593,9.241853437126407
84661000,-16.22,-6.905211505769609,9.21978849423039
84762000,-16.2,-6.896687720632586,9.208312279367414
84865000,-16.17,-6.88199686048932,9.193003139510681
84966000,-16.15,-6.867376455007237,9.18762354499276
85066000,-16.12,-6.8499034819021,9.1750965180979
85169000,-16.1,-6.831875836272818,9.173124163727183
85270000,-16.07,-6.811355516358556,9.163644483641443
85373000,-16.05,-6.7689157002704645,9.186084299729535
85474000,-16.02,-6.728059497948559,9.19694050205144
85574000,-16.0,-6.689085020135927,9.215914979864072
85677000,-16.0,-6.650936994500666,9.254063005499333
85778000,-16.0,-6.627002952821885,9.277997047178115
85881000,-16.0,-6.602324739779288,9.302675260220711
85981000,-16.0,-6.576672517373374,9.328327482626625
