,TimeUS,timestamp,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt,terrain_cm,sub_cm,rf_cm,signal_quality
2476,156298039,1705603396.2000227,0.4001404643058777,0.0,0.3957751095294952,0.5,-10.917566299438477,-10.91723346710205,-10.992995262145996,8.86,9.05,-20.0627384185791,-26,-27,-2000.0,-1092.7010189533228,903.0,100.0
2477,156360764,1705603396.299983,0.4011818468570709,0.0,0.3986440300941467,0.5,-10.94349479675293,-10.943498611450195,-11.02724266052246,8.86,9.13,-20.086828231811523,-25,-26,-2000.0,-1092.7010189533228,903.0,100.0
2478,156399544,1705603396.299983,0.4011818468570709,0.0,0.3986440300941467,0.5,-10.94349479675293,-10.943498611450195,-11.02724266052246,8.86,9.13,-20.086828231811523,-25,-26,-2000.0,-1095.2893962860107,909.0,100.0
2479,156460724,1705603396.399943,0.4015646874904632,0.0,0.3991734683513641,0.5,-10.96885871887207,-10.969100952148438,-11.046255111694336,8.86,9.03,-20.10327911376953,-25,-25,-2000.0,-1095.2893962860107,909.0,100.0
2480,156495053,1705603396.399943,0.4015646874904632,0.0,0.3991734683513641,0.5,-10.96885871887207,-10.969100952148438,-11.046255111694336,8.86,9.03,-20.10327911376953,-25,-25,-2000.0,-1097.7248528003693,897.0,100.0
2481,156560684,1705603396.4999027,0.4054375886917114,0.0,0.4024344384670257,0.5,-10.993671417236328,-10.993931770324709,-11.073113441467283,8.86,9.03,-20.113489151000977,-24,-25,-2000.0,-1097.7248528003693,897.0,100.0
2482,156599347,1705603396.4999027,0.4054375886917114,0.0,0.4024344384670257,0.5,-10.993671417236328,-10.993931770324709,-11.073113441467283,8.86,9.03,-20.113489151000977,-24,-25,-2000.0,-1100.2323410034176,890.0,100.0
2483,156660644,1705603396.599863,0.4080869257450104,0.0,0.4052648246288299,0.5,-11.017847061157228,-11.017998695373535,-11.09654140472412,8.86,9.03,-20.12498664855957,-23,-24,-2000.0,-1100.2323410034176,890.0,100.0
2484,156760604,1705603396.699823,0.411001980304718,0.0,0.4081487655639648,0.5,-11.04132843017578,-11.04128646850586,-11.112914085388184,8.86,9.09,-20.1418399810791,-23,-23,-2000.0,-1100.2323410034176,890.0,100.0
2485,156798823,1705603396.699823,0.411001980304718,0.0,0.4081487655639648,0.5,-11.04132843017578,-11.04128646850586,-11.112914085388184,8.86,9.09,-20.1418399810791,-23,-23,-2000.0,-1104.8685377979275,900.0,100.0
2486,156860564,1705603396.7997828,0.4095188975334167,0.0,0.4088083207607269,0.5,-11.064111709594728,-11.063478469848633,-11.139342308044434,8.86,9.09,-20.16254997253418,-22,-22,-2000.0,-1104.8685377979275,900.0,100.0
2487,156894782,1705603396.7997828,0.4095188975334167,0.0,0.4088083207607269,0.5,-11.064111709594728,-11.063478469848633,-11.139342308044434,8.86,9.09,-20.16254997253418,-22,-22,-2000.0,-1107.027608766556,891.0,100.0
2488,156960524,1705603396.899743,0.4103429317474365,0.0,0.409258484840393,0.5,-11.086263656616213,-11.084867477416992,-11.160512924194336,8.86,8.97,-20.16582679748535,-22,-22,-2000.0,-1107.027608766556,891.0,100.0
2489,156990681,1705603396.899743,0.4103429317474365,0.0,0.409258484840393,0.5,-11.086263656616213,-11.084867477416992,-11.160512924194336,8.86,8.97,-20.16582679748535,-22,-22,-2000.0,-1109.0560864740878,884.0,100.0
2490,156998377,1705603396.899743,0.4103429317474365,0.0,0.409258484840393,0.5,-11.086263656616213,-11.084867477416992,-11.160512924194336,8.86,8.97,-20.16582679748535,-22,-22,-2000.0,-1109.2185218427644,890.0,100.0
2491,157060484,1705603396.9997027,0.415785014629364,0.0,0.4124278128147125,0.5,-11.107708930969238,-11.105623245239258,-11.177979469299316,8.86,8.89,-20.1597843170166,-21,-21,-2000.0,-1109.2185218427644,890.0,100.0
2492,157160444,1705603397.099663,0.4207265377044678,0.0,0.4172432124614715,0.5,-11.128265380859377,-11.125515937805176,-11.211078643798828,8.86,9.0,-20.164648056030277,-20,-21,-2000.0,-1109.2185218427644,890.0,100.0
2493,157198373,1705603397.099663,0.4207265377044678,0.0,0.4172432124614715,0.5,-11.128265380859377,-11.125515937805176,-11.211078643798828,8.86,9.0,-20.164648056030277,-20,-21,-2000.0,-1113.2767791748047,884.0,100.0
2494,157260404,1705603397.199623,0.42528036236763,0.0,0.4207200706005096,0.5,-11.147818565368652,-11.145012855529783,-11.231284141540527,8.86,8.91,-20.16602325439453,-19,-20,-2000.0,-1113.2767791748047,884.0,100.0
2495,157293619,1705603397.199623,0.42528036236763,0.0,0.4207200706005096,0.5,-11.147818565368652,-11.145012855529783,-11.231284141540527,8.86,8.91,-20.16602325439453,-19,-20,-2000.0,-1115.1340823173523,885.0,100.0
2496,157360364,1705603397.2995827,0.4348459243774414,0.0,0.4277833104133606,0.5,-11.166335105895996,-11.1641206741333,-11.248802185058594,8.86,8.84,-20.15972900390625,-18,-19,-2000.0,-1115.1340823173523,885.0,100.0
