TimeUS,terrain_cm,sub_cm,rf_cm,signal_quality
73190986,-1982.0,-1069.382566356659,914,100
73201948,-1984.0,-1069.722394561768,918,100
73400373,-1986.0,-1075.7711965560911,908,100
73498035,-1988.0,-1078.700998687744,915,100
73601171,-1989.9999999999998,-1081.588798400879,906,100
73698091,-1992.0000000000002,-1084.3024797909225,922,100
73799343,-1994.0000000000002,-1087.0500158798752,911,100
73895855,-1996.0,-1089.668943092691,904,100
74001076,-2000.0,-1092.4580393791198,907,100
74199506,-2000.0,-1097.7164157867433,897,100
74297760,-2000.0,-1100.3197843551638,890,100
74399549,-2000.0,-1102.966278457642,900,100
74496434,-2000.0,-1105.4853061676026,894,100
74599566,-2000.0,-1108.1154416084291,891,100
74800952,-2000.0,-1113.0428855285643,879,100
74897220,-2000.0,-1115.3047123695487,882,100
74992887,-2000.0,-1117.3513173800795,879,100
75001952,-2000.0,-1117.545252556113,889,100
75200270,-2000.0,-1121.440863990784,872,100
75296550,-2000.0,-1123.1739143371583,873,100
75401823,-2000.0,-1124.861180114746,881,100
75497421,-2000.0,-1126.390751647949,873,100
75599403,-2000.0,-1127.6675407409668,873,100
75697460,-2000.0,-1128.8932566165925,875,100
75801012,-2000.0,-1129.935302358656,873,100
75999287,-2000.0,-1131.6671554088593,869,100
76096666,-2000.0,-1132.3974994659422,863,100
76191243,-2000.0,-1132.7769737243652,868,100
76201089,-2000.0,-1132.8163593292236,862,100
76399403,-2000.0,-1133.3024032592773,859,100
76599639,-2000.0,-1133.1434017658235,868,100
76698087,-2000.0,-1132.8951080799102,866,100
76793938,-2000.0,-1132.4637766838075,866,100
76800454,-2000.0,-1132.434453590393,862,100
77000574,-2000.0,-1131.4331720760213,872,100
77097284,-2000.0,-1130.9039148567922,873,100
77201982,-2000.0,-1130.0681396484374,868,100
77297816,-2000.0,-1129.3014656066894,870,100
77400304,-2000.0,-1128.328106737137,872,100
77498456,-2000.0,-1127.3949813842773,881,100
77601124,-2000.0,-1126.2656341896059,871,100
77799553,-2000.0,-1124.0262665082464,876,100
77896147,-2000.0,-1122.909855097862,875,100
77998476,-2000.0,-1121.7330226898196,867,100
78093791,-2000.0,-1120.6369004249573,867,100
78199497,-2000.0,-1119.3700279235838,884,100
78297271,-2000.0,-1118.1970112800598,874,100
78399360,-2000.0,-1117.0740362167357,877,100
78494035,-2000.0,-1116.032605266571,882,100
78598377,-2000.0,-1114.8848465919493,881,100
78798489,-2000.0,-1112.5821300506593,886,100
78893748,-2000.0,-1111.4390197753908,885,100
78999360,-2000.0,-1110.1716750030516,896,100
79094804,-2000.0,-1109.0263502960206,888,100
79199360,-2000.0,-1107.9305628136024,901,100
79294435,-2000.0,-1106.937245536918,895,100
79400295,-2000.0,-1105.928188276291,900,100
79494164,-2000.0,-1105.0364353179934,883,100
79599343,-2000.0,-1104.23992562294,901,100
79798261,-2000.0,-1102.9485605888367,897,100
79893954,-2000.0,-1102.4222510986328,894,100
79998519,-2000.0,-1102.0969270255698,892,100
80092126,-2000.0,-1101.8146950189794,894,100
80199437,-2000.0,-1101.5439060211183,896,100
80296464,-2000.0,-1101.3013377666473,894,100
80399549,-2000.0,-1101.3,889,100
80496366,-2000.0,-1101.3,890,100
80601128,-2000.0,-1101.4561926841736,902,100
80799480,-2000.0,-1101.8562012672423,900,100
80895958,-2000.0,-1102.0973962306978,897,100
81001901,-2000.0,-1102.362252511978,894,100
